date,year,month,decade,era,home_team,away_team,home_score,away_score,goal_diff,total_goals,result,went_to_shootout,shootout_winner,shootout_first_shooter,tournament,tournament_tier,is_high_stakes,city,country,neutral,has_home_advantage,total_goals_recorded,own_goals_count,penalties_count,unique_scorers
1895-03-30,1895,3,1890,Pioneer Era (pre-1900),Scotland,Northern Ireland,3,1,2,4,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1895-04-06,1895,4,1890,Pioneer Era (pre-1900),England,Scotland,3,0,3,3,home_win,False,,,British Home Championship,3,False,Liverpool,England,False,True,0,0,0,0
1896-02-29,1896,2,1890,Pioneer Era (pre-1900),Wales,Northern Ireland,6,1,5,7,home_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1896-03-07,1896,3,1890,Pioneer Era (pre-1900),Northern Ireland,England,0,2,-2,2,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1896-03-16,1896,3,1890,Pioneer Era (pre-1900),Wales,England,1,9,-8,10,away_win,False,,,British Home Championship,3,False,Cardiff,Wales,False,True,0,0,0,0
1896-03-21,1896,3,1890,Pioneer Era (pre-1900),Scotland,Wales,4,0,4,4,home_win,False,,,British Home Championship,3,False,Dundee,Scotland,False,True,0,0,0,0
1896-03-28,1896,3,1890,Pioneer Era (pre-1900),Northern Ireland,Scotland,3,3,0,6,draw,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1896-04-04,1896,4,1890,Pioneer Era (pre-1900),Scotland,England,2,1,1,3,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1897-02-20,1897,2,1890,Pioneer Era (pre-1900),England,Northern Ireland,6,0,6,6,home_win,False,,,British Home Championship,3,False,Nottingham,England,False,True,0,0,0,0
1897-03-06,1897,3,1890,Pioneer Era (pre-1900),Northern Ireland,Wales,4,3,1,7,home_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1897-03-20,1897,3,1890,Pioneer Era (pre-1900),Wales,Scotland,2,2,0,4,draw,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1897-03-27,1897,3,1890,Pioneer Era (pre-1900),Scotland,Northern Ireland,5,1,4,6,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1897-03-29,1897,3,1890,Pioneer Era (pre-1900),England,Wales,4,0,4,4,home_win,False,,,British Home Championship,3,False,Sheffield,England,False,True,0,0,0,0
1897-04-03,1897,4,1890,Pioneer Era (pre-1900),England,Scotland,1,2,-1,3,away_win,False,,,British Home Championship,3,False,London,England,False,True,0,0,0,0
